,Zeit,overnight,break
,2023-01-01 00:00:00,0.041837,0.007712
,2023-01-01 00:15:00,0.036271,0.000000
,2023-01-01 00:30:00,0.031054,0.000000
,2023-01-01 00:45:00,0.026186,0.000000
,2023-01-01 01:00:00,0.022709,0.000000
,2023-01-01 01:15:00,0.019233,0.000000
,2023-01-01 01:30:00,0.015771,0.000000
,2023-01-01 01:45:00,0.013150,0.000000
,2023-01-01 02:00:00,0.011172,0.000000
,2023-01-01 02:15:00,0.009194,0.000000
,2023-01-01 02:30:00,0.007333,0.000000
,2023-01-01 02:45:00,0.005938,0.000000
,2023-01-01 03:00:00,0.004893,0.000000
,2023-01-01 03:15:00,0.003848,0.000000
,2023-01-01 03:30:00,0.003385,0.000000
,2023-01-01 03:45:00,0.002887,0.000000
,2023-01-01 04:00:00,0.002243,0.000000
,2023-01-01 04:15:00,0.001437,0.000000
,2023-01-01 04:30:00,0.000956,0.000000
,2023-01-01 04:45:00,0.000000,0.001118
,2023-01-01 05:00:00,0.000000,0.002256
,2023-01-01 05:15:00,0.000000,0.002340
,2023-01-01 05:30:00,0.000000,0.001615
,2023-01-01 05:45:00,0.000000,0.002185
,2023-01-01 06:00:00,0.000000,0.001542
,2023-01-01 06:15:00,0.000000,0.001464
,2023-01-01 06:30:00,0.000000,0.001792
,2023-01-01 06:45:00,0.000000,0.000986
,2023-01-01 07:00:00,0.000000,0.001314
,2023-01-01 07:15:00,0.000000,0.002207
,2023-01-01 07:30:00,0.000000,0.002373
,2023-01-01 07:45:00,0.000000,0.003914
,2023-01-01 08:00:00,0.000000,0.006831
,2023-01-01 08:15:00,0.000000,0.008616
,2023-01-01 08:30:00,0.000000,0.010319
,2023-01-01 08:45:00,0.000000,0.023920
,2023-01-01 09:00:00,0.000000,0.030156
,2023-01-01 09:15:00,0.000000,0.038172
,2023-01-01 09:30:00,0.000000,0.043922
,2023-01-01 09:45:00,0.000000,0.080672
,2023-01-01 10:00:00,0.000000,0.086422
,2023-01-01 10:15:00,0.000000,0.096219
,2023-01-01 10:30:00,0.000000,0.102455
,2023-01-01 10:45:00,0.000000,0.138961
,2023-01-01 11:00:00,0.000000,0.125610
,2023-01-01 11:15:00,0.000000,0.124643
,2023-01-01 11:30:00,0.000000,0.117848
,2023-01-01 11:45:00,0.000000,0.091466
,2023-01-01 12:00:00,0.000000,0.092279
,2023-01-01 12:15:00,0.000000,0.088883
,2023-01-01 12:30:00,0.000000,0.088320
,2023-01-01 12:45:00,0.000000,0.082415
,2023-01-01 13:00:00,0.000000,0.079586
,2023-01-01 13:15:00,0.000596,0.080318
,2023-01-01 13:30:00,0.001248,0.080403
,2023-01-01 13:45:00,0.001818,0.076926
,2023-01-01 14:00:00,0.002793,0.074906
,2023-01-01 14:15:00,0.004658,0.073938
,2023-01-01 14:30:00,0.006847,0.075237
,2023-01-01 14:45:00,0.009602,0.070223
,2023-01-01 15:00:00,0.013086,0.067313
,2023-01-01 15:15:00,0.017704,0.063917
,2023-01-01 15:30:00,0.023453,0.063678
,2023-01-01 15:45:00,0.030337,0.052836
,2023-01-01 16:00:00,0.038111,0.053487
,2023-01-01 16:15:00,0.047341,0.056242
,2023-01-01 16:30:00,0.057381,0.058026
,2023-01-01 16:45:00,0.068797,0.062886
,2023-01-01 17:00:00,0.080293,0.059734
,2023-01-01 17:15:00,0.092195,0.061194
,2023-01-01 17:30:00,0.104824,0.060307
,2023-01-01 17:45:00,0.117374,0.062010
,2023-01-01 18:00:00,0.127980,0.059829
,2023-01-01 18:15:00,0.138344,0.061451
,2023-01-01 18:30:00,0.148626,0.064450
,2023-01-01 18:45:00,0.157047,0.074166
,2023-01-01 19:00:00,0.161584,0.075465
,2023-01-01 19:15:00,0.163611,0.078624
,2023-01-01 19:30:00,0.164991,0.082190
,2023-01-01 19:45:00,0.166288,0.085511
,2023-01-01 20:00:00,0.167183,0.083168
,2023-01-01 20:15:00,0.164759,0.078073
,2023-01-01 20:30:00,0.159420,0.075162
,2023-01-01 20:45:00,0.152220,0.043601
,2023-01-01 21:00:00,0.145264,0.041823
,2023-01-01 21:15:00,0.137335,0.038833
,2023-01-01 21:30:00,0.128193,0.036975
,2023-01-01 21:45:00,0.118484,0.021276
,2023-01-01 22:00:00,0.108937,0.020632
,2023-01-01 22:15:00,0.099876,0.019988
,2023-01-01 22:30:00,0.090329,0.020963
,2023-01-01 22:45:00,0.081025,0.014978
,2023-01-01 23:00:00,0.071963,0.014415
,2023-01-01 23:15:00,0.062416,0.013285
,2023-01-01 23:30:00,0.053193,0.011994
,2023-01-01 23:45:00,0.043646,0.007465
,2023-01-01 ,,
